cód.;Escola;endereco;num;bairro;municipio;DDD;Telefone;CEP;E-mail;Dependência;endereco_completo;lat;lng
138738;CEDUP PROFESSOR LYCURGO ALEIXO NORA;RUA ESTANISLAU MAIERSKI;0;VILA NOVA;MAFRA;47.0;36470538;89304178;cedupmafra@sed.sc.gov.br;Estaduais;RUA ESTANISLAU MAIERSKI, 0 - VILA NOVA, MAFRA - SC, 89304178;-26.1316;-49.82423
29963;CEDUP RENATO RAMOS DA SILVA;AV.CASTELO BRANCO;109;UNIVERSITARIO;LAGES;49.0;32898250;88509015;seriedh27ceduprsilva@sed.sc.gov.br;Estaduais;AV.CASTELO BRANCO, 109 - UNIVERSITARIO, LAGES - SC, 88509015;-27.82124;-50.31996
89907;CEDUP VIDAL RAMOS;RUA MARIA OLSEN;0;MARCILIO DIAS;CANOINHAS;47.0;36224050;89465250;cedupcanoinhas@sed.sc.gov.br;Estaduais;RUA MARIA OLSEN, 0 - MARCILIO DIAS, CANOINHAS - SC, 89465250;-26.13464;-50.38928
110906;CEI VIDA E MOVIMENTO;MADRE BENVENUTA;265;TRINDADE;FLORIANÓPOLIS;48.0;3331-1961;88036500;;Estaduais;MADRE BENVENUTA, 265 - TRINDADE, FLORIANÓPOLIS - SC, 88036500;-27.59238;-48.51936
701416;CEJA DE ARARANGUA;RUA PREFEITO ANTONIO RAUPP;370;VILA SÃO JOSÉ;ARARANGUÁ;48.0;35290288;88900228;ceja22@sed.sc.gov.br;Estaduais;RUA PREFEITO ANTONIO RAUPP, 370 - VILA SÃO JOSÉ, ARARANGUÁ - SC, 88900228;-28.92451;-49.48058
704326;CEJA DE BALNEARIO CAMBORIU;RUA JULIETA LINS;685;PIONEIROS;BALNEÁRIO CAMBORIÚ;47.0;33986042;88331010;cejabalneariocamboriu@sed.sc.gov.br;Estaduais;RUA JULIETA LINS, 685 - PIONEIROS, BALNEÁRIO CAMBORIÚ - SC, 88331010;-26.97082;-48.63792
700525;CEJA DE BLUMENAU;RUA ENGENHEIRO PAUL WERNER;608;ITOUPAVA SECA;BLUMENAU;47.0;33788687;89030100;cejablu@sed.sc.gov.br;Estaduais;RUA ENGENHEIRO PAUL WERNER, 608 - ITOUPAVA SECA, BLUMENAU - SC, 89030100;-26.89743;-49.08117
700800;CEJA DE BRACO DO NORTE;RUA SAO BASILIO;2076;SAO BASILIO;BRAÇO DO NORTE;48.0;36584015;88750000;cejabracodonorte36@sed.sc.gov.br;Estaduais;RUA SAO BASILIO, 2076 - SAO BASILIO, BRAÇO DO NORTE - SC, 88750000;-28.28617;-49.16321
701718;CEJA DE BRUSQUE;RUA ADRIANO SCHAEFFER;42;CENTRO;BRUSQUE;47.0;32518243;88350330;ceja16@sed.sc.gov.br;Estaduais;RUA ADRIANO SCHAEFFER, 42 - CENTRO, BRUSQUE - SC, 88350330;-27.0992;-48.9163
700568;CEJA DE CACADOR;ADOLFO FRANZ GROTH;421;DER;CAÇADOR;49.0;35615981;89506111;seriedh10cejacacador@sed.sc.gov.br;Estaduais;ADOLFO FRANZ GROTH, 421 - DER, CAÇADOR - SC, 89506111;-26.76854;-51.02009
701700;CEJA DE CAMPOS NOVOS;RUA SANTA EFIGÊNIA;695;SENHOR BOM JESUS;CAMPOS NOVOS;49.0;35413390;89620000;cejacamposnovos@sed.sc.gov.br;Estaduais;RUA SANTA EFIGÊNIA, 695 - SENHOR BOM JESUS, CAMPOS NOVOS - SC, 89620000;-27.39801;-51.22979
701513;CEJA DE CANOINHAS;RUA BARAO DO RIO BRANCO;1182;CENTRO;CANOINHAS;47.0;36274057;89460100;ceja26@sed.sc.gov.br;Estaduais;RUA BARAO DO RIO BRANCO, 1182 - CENTRO, CANOINHAS - SC, 89460100;-26.18238;-50.38941
700550;CEJA DE CHAPECO;RUA ASSIS BRASIL;31;MARIA GORETTI;CHAPECÓ;49.0;33223995;89801222;ceja04@sed.sc.gov.br;Estaduais;RUA ASSIS BRASIL, 31 - MARIA GORETTI, CHAPECÓ - SC, 89801222;-27.10329;-52.60511
700541;CEJA DE CONCORDIA;RUA LAURO MULLER;105;CENTRO;CONCÓRDIA;49.0;34826092;89700009;seriedh6cejaconcordia@sed.sc.gov.br;Estaduais;RUA LAURO MULLER, 105 - CENTRO, CONCÓRDIA - SC, 89700009;-27.23379;-52.02357
701246;CEJA DE CRICIUMA;RUA AFONSO SCAVONI;0;PINHEIRINHO;CRICIÚMA;48.0;34031336;88804420;cejacriciuma@sed.sc.gov.br;Estaduais;RUA AFONSO SCAVONI, 0 - PINHEIRINHO, CRICIÚMA - SC, 88804420;-28.69207;-49.38912
701769;CEJA DE CURITIBANOS;PRAÇA JOSEFINA AMORIM;1;CENTRO;CURITIBANOS;49.0;34123040;89520000;cejactbanos@sed.sc.gov.br;Estaduais;PRAÇA JOSEFINA AMORIM, 1 - CENTRO, CURITIBANOS - SC, 89520000;-27.28489;-50.57705
704300;CEJA DE DIONISIO CERQUEIRA;RUA SALDANHA DA GAMA;1200;PRIMEIRO DE MAIO;DIONÍSIO CERQUEIRA;49.0;36443342;89950000;cejadionisio@sed.sc.gov.br;Estaduais;RUA SALDANHA DA GAMA, 1200 - PRIMEIRO DE MAIO, DIONÍSIO CERQUEIRA - SC, 89950000;-26.26361;-53.63004
700053;CEJA DE FLORIANOPOLIS;RUA GENERAL BITTENCOURT;234;CENTRO;FLORIANÓPOLIS;48.0;36655637;88020100;ceja01@sed.sc.gov.br;Estaduais;RUA GENERAL BITTENCOURT, 234 - CENTRO, FLORIANÓPOLIS - SC, 88020100;-27.59764;-48.5465
701777;CEJA DE IBIRAMA;RUA 3 DE MAIO;365;CENTRO;IBIRAMA;47.0;33578985;89140000;cejaibirama@sed.sc.gov.br;Estaduais;RUA 3 DE MAIO, 365 - CENTRO, IBIRAMA - SC, 89140000;-27.05727;-49.51655
700649;CEJA DE IMBITUBA;RUA ERNANI COTRIN;737;CENTRO;IMBITUBA;48.0;36477995;88780000;cejaimbituba@sed.sc.gov.br;Estaduais;RUA ERNANI COTRIN, 737 - CENTRO, IMBITUBA - SC, 88780000;-28.23715;-48.67165
700584;CEJA DE ITAJAI;RUA JORGE MATTOS;0;CENTRO;ITAJAÍ;47.0;33986125;88302130;cejaitajai@sed.sc.gov.br;Estaduais;RUA JORGE MATTOS, 0 - CENTRO, ITAJAÍ - SC, 88302130;-26.91411;-48.66383
700843;CEJA DE ITAPIRANGA;RUA SÃO BONIFÁCIO;186;CENTRO;ITAPIRANGA;49.0;34725032;89896000;cejaitapiranga@sed.sc.gov.br;Estaduais;RUA SÃO BONIFÁCIO, 186 - CENTRO, ITAPIRANGA - SC, 89896000;-27.17159;-53.71272
701483;CEJA DE ITUPORANGA;AV PARAGUAI;187;JARDIM AMERICA;ITUPORANGA;47.0;35338776;88400000;cejaituporanga@sed.sc.gov.br;Estaduais;AV PARAGUAI, 187 - JARDIM AMERICA, ITUPORANGA - SC, 88400000;-20.33499;-40.36901
701491;CEJA DE JARAGUA DO SUL;RUA JOAO JANUARIO AYROSO;115;JARAGUA ESQUERDO;JARAGUÁ DO SUL;47.0;32769434;89253100;ceja24@sed.sc.gov.br;Estaduais;RUA JOAO JANUARIO AYROSO, 115 - JARAGUA ESQUERDO, JARAGUÁ DO SUL - SC, 89253100;-26.49521;-49.08934
700533;CEJA DE JOACABA;AVENIDA SANTA TEREZINHA;105;CENTRO;JOAÇABA;49.0;35279586;89600000;cejajoacaba@sed.sc.gov.br;Estaduais;AVENIDA SANTA TEREZINHA, 105 - CENTRO, JOAÇABA - SC, 89600000;-27.1762;-51.5042
701424;CEJA DE JOINVILLE;RUA ALEXANDRE SCHLEMM;110;BUCAREIN;JOINVILLE;47.0;34311493;89202417;ceja05@sed.sc.gov.br;Estaduais;RUA ALEXANDRE SCHLEMM, 110 - BUCAREIN, JOINVILLE - SC, 89202417;-26.312;-48.84185
701173;CEJA DE LAGES;RUA CORREIA PINTO;295;CENTRO;LAGES;49.0;32243444;88502201;seriedh27cejalages@sed.sc.gov.br;Estaduais;RUA CORREIA PINTO, 295 - CENTRO, LAGES - SC, 88502201;-27.8129;-50.32517
701670;CEJA DE LAGUNA;AV. COLOMBO MACHADO SALLES;0;CAMPO DE FORA;LAGUNA;48.0;36477403;88790000;cejalaguna@sed.sc.gov.br;Estaduais;AV. COLOMBO MACHADO SALLES, 0 - CAMPO DE FORA, LAGUNA - SC, 88790000;-28.47611;-48.78155
701521;CEJA DE MAFRA;RUA MARECHAL DEODORO;494;CENTRO;MAFRA;47.0;36470301;89300172;ceja25mafra@sed.sc.gov.br;Estaduais;RUA MARECHAL DEODORO, 494 - CENTRO, MAFRA - SC, 89300172;-26.11531;-49.80628
701181;CEJA DE MARAVILHA;RUA GENERAL OSÓRIO;319;CENTRO;MARAVILHA;49.0;36646632;89874000;cejamaravilha@sed.sc.gov.br;Estaduais;RUA GENERAL OSÓRIO, 319 - CENTRO, MARAVILHA - SC, 89874000;-26.76514;-53.1792
701599;CEJA DE PALMITOS;RUA PADRE MANOEL DA NOBREGA;568;CENTRO;PALMITOS;49.0;34624104;89887000;cejapalmitos@sed.sc.gov.br;Estaduais;RUA PADRE MANOEL DA NOBREGA, 568 - CENTRO, PALMITOS - SC, 89887000;-27.06672;-53.15323
701190;CEJA DE QUILOMBO;RUA SANTO ANGELO;205;CENTRO;QUILOMBO;49.0;33462458;89850000;seriedh32cejaquilombo@sed.sc.gov.br;Estaduais;RUA SANTO ANGELO, 205 - CENTRO, QUILOMBO - SC, 89850000;-26.72372;-52.72039
700614;CEJA DE RIO DO SUL;RUA RUI BARBOSA;221;SUMARÉ;RIO DO SUL;47.0;35263140;89165487;ceja06@sed.sc.gov.br;Estaduais;RUA RUI BARBOSA, 221 - SUMARÉ, RIO DO SUL - SC, 89165487;-27.22203;-49.64804
701505;CEJA DE SAO BENTO DO SUL;RUA WOLFGANG AMMON;54;CENTRO;SÃO BENTO DO SUL;47.0;36470572;89280169;ceja25@sed.sc.gov.br;Estaduais;RUA WOLFGANG AMMON, 54 - CENTRO, SÃO BENTO DO SUL - SC, 89280169;-26.24776;-49.38352
701793;CEJA DE SAO JOAQUIM;LARGO ARISTORIDES STADLER;19;CENTRO;SÃO JOAQUIM;49.0;32338479;88600000;cejasaojoaquim@sed.sc.gov.br;Estaduais;LARGO ARISTORIDES STADLER, 19 - CENTRO, SÃO JOAQUIM - SC, 88600000;-27.82607;-50.33584
704342;CEJA DE SAO JOSE;RUA JOAQUIM VAZ;1314;PRAIA COMPRIDA;SÃO JOSÉ;48.0;36657396;88102650;cejasj@sed.sc.gov.br;Estaduais;RUA JOAQUIM VAZ, 1314 - PRAIA COMPRIDA, SÃO JOSÉ - SC, 88102650;-27.60281;-48.61973
700967;CEJA DE SÃO LOURENÇO DO OESTE;RUA RIO DE JANEIRO;720;CRUZEIRO;SÃO LOURENÇO DO OESTE;49.0;33721050;89990000;cejaslo@sed.sc.gov.br;Estaduais;RUA RIO DE JANEIRO, 720 - CRUZEIRO, SÃO LOURENÇO DO OESTE - SC, 89990000;-26.35925;-52.85301
701653;CEJA DE SAO MIGUEL D OESTE;RUA JOHN KENNEDY;1405;CENTRO;SÃO MIGUEL DO OESTE;49.0;36312950;89900000;ceja12@sed.sc.gov.br;Estaduais;RUA JOHN KENNEDY, 1405 - CENTRO, SÃO MIGUEL DO OESTE - SC, 89900000;-26.73749;-53.51864
704318;CEJA DE SEARA;RUA PHILOMENA MARIA GRIGOLO;53;INDUSTRIAL;SEARA;49.0;34528644;89770000;cejaseara@sed.sc.gov.br;Estaduais;RUA PHILOMENA MARIA GRIGOLO, 53 - INDUSTRIAL, SEARA - SC, 89770000;-27.16064;-52.31827
703281;CEJA DE TAIO;RUA ROBERTO MAYR;27;BAIRRO SEMINARIO;TAIÓ;47.0;35628468;89190000;seriedh34taio@sed.sc.gov.br;Estaduais;RUA ROBERTO MAYR, 27 - BAIRRO SEMINARIO, TAIÓ - SC, 89190000;-27.11748;-49.98668
704350;CEJA DE TIMBO;RECIFE;293;CENTRO;TIMBÓ;47.0;33991344;89120000;ceja35@sed.sc.gov.br;Estaduais;RECIFE, 293 - CENTRO, TIMBÓ - SC, 89120000;-26.8214;-49.27986
700517;CEJA DE TUBARAO;RUA SAO JOSE;234;CENTRO;TUBARÃO;48.0;36319411;88701260;cejatubarao@sed.sc.gov.br;Estaduais;RUA SAO JOSE, 234 - CENTRO, TUBARÃO - SC, 88701260;-28.48396;-49.00842
700860;CEJA DE VIDEIRA;VITOR MEIRELES;71;MATRIZ;VIDEIRA;49.0;35335816;89560184;cejavideira@sed.sc.gov.br;Estaduais;VITOR MEIRELES, 71 - MATRIZ, VIDEIRA - SC, 89560184;-27.00731;-51.15215
700576;CEJA DE XANXERE;PAPA JOÃO XX I I I;70;CENTRO;XANXERÊ;49.0;33822158;89820000;cejaxanxere@sed.sc.gov.br;Estaduais;PAPA JOÃO XX I I I, 70 - CENTRO, XANXERÊ - SC, 89820000;-26.88169;-52.40246
153940;COLEGIO POLICIAL MILITAR FELICIANO NUNES PIRES;RUA DA INDEPENDENCIA;245;GETHAL;LAGES;49.0;32243299;88520400;cfnplgssec@pm.sc.gov.br;Estaduais;RUA DA INDEPENDENCIA, 245 - GETHAL, LAGES - SC, 88520400;-27.79592;-50.29939
158836;COLEGIO POLICIAL MILITAR FELICIANO NUNES PIRES - NUCLEO JERONIMO COELHO;RUA TENENTE BESSA;60;CENTRO;LAGUNA;;;88790000;cfnplgdir@pm.sc.gov.br;Estaduais;RUA TENENTE BESSA, 60 - CENTRO, LAGUNA - SC, 88790000;-28.48184;-48.77976
156388;COLEGIO POLICIAL MILITAR FELICIANO NUNES PIRES - UNIDADE BLUMENAU;RUA FLORIANO PEIXOTO;651;CENTRO;BLUMENAU;47.0;33788284;89010500;cfnpbnudir@pm.sc.gov.br;Estaduais;RUA FLORIANO PEIXOTO, 651 - CENTRO, BLUMENAU - SC, 89010500;-26.92242;-49.06368
156396;COLEGIO POLICIAL MILITAR FELICIANO NUNES PIRES - UNIDADE OSVALDO ARANHA;RUA LINDOIA;103;GLORIA;JOINVILLE;47.0;34818943;89216300;cfnpjllesec@pm.sc.gov.br;Estaduais;RUA LINDOIA, 103 - GLORIA, JOINVILLE - SC, 89216300;-26.29785;-48.87139
79804;EEB ABEL ESTEVES DE AGUIAR;ESTRADA GERAL;0;CACHOEIRA;PRAIA GRANDE;48.0;35290468;88990000;eebaeaguiar@sed.sc.gov.br;Estaduais;ESTRADA GERAL, 0 - CACHOEIRA, PRAIA GRANDE - SC, 88990000;-29.14267;-49.89386
13765;EEB ABILIO CESAR BORGES;RUA ALFREDO PESSI;384;CENTRO;NOVA VENEZA;48.0;34031158;88865000;eebacborges@sed.sc.gov.br;Estaduais;RUA ALFREDO PESSI, 384 - CENTRO, NOVA VENEZA - SC, 88865000;-28.64655;-49.50676
69612;EEB ADELAIDE KONDER;RUA SANTOS MACARINI;350;MACHADOS;NAVEGANTES;47.0;33986152;88371554;eebadelaidekonder@sed.sc.gov.br;Estaduais;RUA SANTOS MACARINI, 350 - MACHADOS, NAVEGANTES - SC, 88371554;-26.86199;-48.68736
2070;EEB ADERBAL RAMOS DA SILVA;RUA CORONEL PEDRO DEMORO;1998;ESTREITO;FLORIANÓPOLIS;48.0;36655624;88075300;aderbalramos@sed.sc.gov.br;Estaduais;RUA CORONEL PEDRO DEMORO, 1998 - ESTREITO, FLORIANÓPOLIS - SC, 88075300;-27.58336;-48.58259
71200;EEB ADOLFO ANTONIO CABRAL;RUA ADOLFO CABRAL;0;SANTO ANTONIO;BALNEÁRIO PIÇARRAS;47.0;33986177;88380000;eebadolfoacabral@sed.sc.gov.br;Estaduais;RUA ADOLFO CABRAL, 0 - SANTO ANTONIO, BALNEÁRIO PIÇARRAS - SC, 88380000;-26.75816;-48.68532
23817;EEB ADOLFO BOVING;RUA LEOPOLDO JOENCK;82;CENTRO;BRAÇO DO TROMBUDO;47.0;35263218;89178000;eebadolfob@sed.sc.gov.br;Estaduais;RUA LEOPOLDO JOENCK, 82 - CENTRO, BRAÇO DO TROMBUDO - SC, 89178000;-27.35625;-49.88244
34819;EEB ADOLFO JOSE MARTINS;R RANIER CASSETTARI;47;CENTRO;BOM JARDIM DA SERRA;49.0;32338478;88640000;adolfomartins@sed.sc.gov.br;Estaduais;R RANIER CASSETTARI, 47 - CENTRO, BOM JARDIM DA SERRA - SC, 88640000;-28.34033;-49.62457
60585;EEB ADOLFO SILVEIRA;R ALAIR SCHMITT ZANIN;804;CENTRO;PARAÍSO;49.0;36312983;89906000;seriedh1asilveira@sed.sc.gov.br;Estaduais;R ALAIR SCHMITT ZANIN, 804 - CENTRO, PARAÍSO - SC, 89906000;-26.61756;-53.67965
16004;EEB ADOLPHO KONDER;RUA UBERABA;99;VELHA;BLUMENAU;47.0;33788497;89036460;eebakonder@sed.sc.gov.br;Estaduais;RUA UBERABA, 99 - VELHA, BLUMENAU - SC, 89036460;-26.91786;-49.09365
31070;EEB AGAR ALVES NUNES;RUA VALDO DA COSTA AVILA;172;CENTRO ADMINISTRATIVO;OTACÍLIO COSTA;49.0;32753001;88540000;seriedh27anunes@sed.sc.gov.br;Estaduais;RUA VALDO DA COSTA AVILA, 172 - CENTRO ADMINISTRATIVO, OTACÍLIO COSTA - SC, 88540000;-27.48365;-50.1211
60550;EEB ALBERICO AZEVEDO;RUA TIRADENTES;989;SAO JORGE;SÃO MIGUEL DO OESTE;49.0;36313200;89900000;eebalberico@sed.sc.gov.br;Estaduais;RUA TIRADENTES, 989 - SAO JORGE, SÃO MIGUEL DO OESTE - SC, 89900000;-26.74006;-53.51102
72311;EEB ALBINA MOSCONI;RODOLFO NICKEL;245;CENTRO;MACIEIRA;49.0;35616878;89518000;ebam@sed.sc.gov.br;Estaduais;RODOLFO NICKEL, 245 - CENTRO, MACIEIRA - SC, 89518000;-26.85476;-51.3765
109150;EEB ALCUINO GONCALO VIEIRA;RUA JACARANDÁ;0;TABOLEIRO;CAMBORIÚ;47.0;33986229;88348219;eebalcuinogvieira@sed.sc.gov.br;Estaduais;RUA JACARANDÁ, 0 - TABOLEIRO, CAMBORIÚ - SC, 88348219;-27.00287;-48.65558
3751;EEB ALDO CAMARA DA SILVA;ALFREDO JOSE DO AMORIM;0;NOSSA SENHORA DO ROSARIO;SÃO JOSÉ;48.0;36655791;88110660;aldocamara@sed.sc.gov.br;Estaduais;ALFREDO JOSE DO AMORIM, 0 - NOSSA SENHORA DO ROSARIO, SÃO JOSÉ - SC, 88110660;-27.57961;-48.62194
52272;EEB ALECIO ALEXANDRE CELLA;LUIZ CELLA;130;TREVO;CHAPECÓ;49.0;20497806;89810814;"ebm.aleciocella@edu.chapeco.sc.gov.br
";Estaduais;LUIZ CELLA, 130 - TREVO, CHAPECÓ - SC, 89810814;-27.00144;-52.64735
95761;EEB ALEIXO DELLAGIUSTINA;RUA 24 DE SETEMBRO;388;SANTO ANTONIO;ITUPORANGA;47.0;35338779;88400000;eebad13@sed.sc.gov.br;Estaduais;RUA 24 DE SETEMBRO, 388 - SANTO ANTONIO, ITUPORANGA - SC, 88400000;-27.40418;-49.60511
71323;EEB ALEXANDRE GUILHERME FIGUEREDO;FARMACEUTICO OSORIO DOMINGO CORREA;519;CENTRO;BALNEÁRIO PIÇARRAS;47.0;33986151;88380000;eebalexandregfigueredo@sed.sc.gov.br;Estaduais;FARMACEUTICO OSORIO DOMINGO CORREA, 519 - CENTRO, BALNEÁRIO PIÇARRAS - SC, 88380000;-26.76883;-48.6738
36285;EEB ALEXANDRE GUSMAO;R ANITA GARIBALDI;505;CENTRO;BOM RETIRO;49.0;32338394;88680000;alexandregusmao@sed.sc.gov.br;Estaduais;R ANITA GARIBALDI, 505 - CENTRO, BOM RETIRO - SC, 88680000;-27.79498;-49.48782
81175;EEB ALEXANDRE TERNES FILHO;RUA SENADOR GALLOTTI;600;JOAIA;TIJUCAS;48.0;36655576;88200000;eebatf@sed.sc.gov.br;Estaduais;RUA SENADOR GALLOTTI, 600 - JOAIA, TIJUCAS - SC, 88200000;-27.25755;-48.65709
23124;EEB ALFREDO DALFOVO;ENGENHEIRO ODEBRECHT;295;BUDAG;RIO DO SUL;47.0;35263139;89165412;eebdalfovo@sed.sc.gov.br;Estaduais;ENGENHEIRO ODEBRECHT, 295 - BUDAG, RIO DO SUL - SC, 89165412;-27.2266;-49.66294
91944;EEB ALFREDO ZIMMERMANN;RUA GUSTAVO RUBIN;226;AVAI;GUARAMIRIM;47.0;32769430;89270000;seriedh24azimmermann@sed.sc.gov.br;Estaduais;RUA GUSTAVO RUBIN, 226 - AVAI, GUARAMIRIM - SC, 89270000;-26.4655;-48.97846
10391;EEB ALICE JULIA TEIXEIRA;RODOVIA DOS IMIGRANTES SG 100;1081;SANTA APOLONIA;SANGÃO;48.0;36644635;88717000;seriedh20ateixeira@sed.sc.gov.br;Estaduais;RODOVIA DOS IMIGRANTES SG 100, 1081 - SANTA APOLONIA, SANGÃO - SC, 88717000;-28.65137;-49.12106
40932;EEB ALINOR VIEIRA CORTE;RUA GRACILIANO MACHADO;253;CENTRO;PAPANDUVA;47.0;36470342;89370000;eebavc@sed.sc.gov.br;Estaduais;RUA GRACILIANO MACHADO, 253 - CENTRO, PAPANDUVA - SC, 89370000;-26.40453;-50.1431
89346;EEB ALMIRANTE BARROSO;RUA CURITIBANOS;655;CENTRO;CANOINHAS;47.0;36274217;89460146;eebab@sed.sc.gov.br;Estaduais;RUA CURITIBANOS, 655 - CENTRO, CANOINHAS - SC, 89460146;-26.1817;-50.38983
21687;EEB ALMIRANTE BOITEUX;RUA NEREU RAMOS;180;CENTRO;ARAQUARI;47.0;34311420;89245000;eebalmirante@sed.sc.gov.br;Estaduais;RUA NEREU RAMOS, 180 - CENTRO, ARAQUARI - SC, 89245000;-26.37103;-48.72264
12335;EEB ALOYSIUS BACK;RUA HERCILIO MINATTO;134;VILA LOURDES;FORQUILHINHA;48.0;34031130;88850000;eebaback@sed.sc.gov.br;Estaduais;RUA HERCILIO MINATTO, 134 - VILA LOURDES, FORQUILHINHA - SC, 88850000;-28.72896;-49.47494
